Name	Group	Lat	Lon	b	bˤ	c	d	dz	dʒ	dʒʰ	dʒˤ	dʝ	dˤ	f	g	gˤ	h	j	k	kʰ	kˤ	k̠	l	lˤ	l̴	m	mˤ	n	nˤ	p	pʰ	pˤ	q	qˤ	r	rː	rˤ	s	sˁ	sˤ	t	ts	tç	tʃ	tʃʰ	tʃˤ	tʰ	tˁ	tˤ	v	vˤ	w	x	y	z	zˁ	zˤ	ç	ð	ðˁ	ðˤ	č	čˤ	ħ	ħˤ	ŋ	ž	ɟ	ɡ	ɢ	ɣ	ɦ	ɫ	ɰ	ɲ	ɸ	ɻˤ	ɾ	ɾˤ	ʁ	ʃ	ʃː	ʋ	ʐ	ʒ	ʔ	ʕ	ʝ	ʟ	β	θ	χ
Urmi modern Syriac	Neo-Aramaic (other)	37.545	45.051	1	0	0	0	1	1	0	0	0	1	0	1	0	1	1	1	0	0	0	1	0	0	1	0	1	0	1	0	0	0	1	1	0	0	1	0	1	1	1	0	1	0	0	0	0	0	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
sanandaj	Neo-Aramaic (Jewish NENA)	35.314	46.992	1	0	0	1	0	1	0	0	0	0	1	1	0	1	0	0	1	0	0	1	1	0	1	0	1	0	0	1	0	1	0	1	0	1	1	0	1	0	0	0	0	0	0	1	0	1	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0
The Neo-Aramaic dialect of Peshabur	Neo-Aramaic (Christian NENA)	37.06	42.37	1	0	0	1	0	0	0	0	0	0	0	1	0	1	1	1	0	0	0	1	0	0	1	0	1	0	1	0	0	1	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1
Ma'lula	Neo-Aramaic (other)	33.839828000000004	36.548939000000004	0	0	0	1	0	0	0	0	0	1	1	1	0	1	1	1	0	1	0	1	0	0	1	0	1	0	1	0	0	0	0	1	0	0	1	0	1	1	0	0	0	0	0	0	0	1	0	0	1	1	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	1	0	0	0	0	0
Hertevin	Neo-Aramaic (Christian NENA)	37.92	42.35	1	0	0	1	0	1	0	0	0	0	1	1	0	1	1	0	1	0	0	1	0	0	1	0	1	0	0	1	0	1	0	1	0	0	1	0	1	0	0	0	1	0	0	1	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0
Jewish Amadiya	Neo-Aramaic (Jewish NENA)	37.092	43.486999999999995	1	1	0	1	0	0	1	0	0	1	1	1	0	1	1	0	1	0	0	1	0	0	1	1	1	0	0	1	1	1	0	0	0	0	1	0	1	0	0	0	1	0	1	1	0	1	1	0	0	1	0	1	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	1	0	0	0	1	1	1	0	0	0	1	0
Arbel	Neo-Aramaic (Jewish NENA)	36.1921855	44.007945299999996	1	0	0	1	0	0	0	0	0	0	0	1	0	1	1	0	1	0	0	1	0	0	1	0	1	0	0	1	0	1	0	0	0	0	1	0	1	0	0	0	0	1	0	1	0	1	0	0	1	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	1	0	0	0	0	0
Tillo Siirt Arabic	Arabic	37.93	41.934	1	1	0	1	1	1	0	0	0	1	1	1	0	0	1	1	0	0	0	1	0	1	1	1	1	1	1	0	0	1	0	1	0	1	1	0	1	1	0	0	1	0	0	0	0	1	1	1	1	0	0	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0
Zazki/Dimili	Other Iranian	37.75	39.32	1	0	0	1	0	1	0	0	0	0	1	1	0	1	1	1	0	0	0	1	0	1	1	0	1	0	1	0	0	1	0	1	0	0	1	0	0	1	0	0	1	0	0	0	0	0	1	0	1	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0
Azerbajanian (Azerbiajani)	Turkic	40.409	49.867	1	0	1	1	0	1	0	0	0	0	1	1	0	1	1	0	0	0	0	1	0	0	1	0	1	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0
Khalaj	Turkic	32.804	51.663999999999994	1	0	0	1	0	1	0	0	0	0	1	1	0	1	1	1	0	0	0	1	0	0	1	0	1	0	1	0	0	1	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0
Turkmen	Turkic	39.318000000000005	59.548	1	0	0	1	0	1	0	0	0	0	0	1	0	1	1	1	0	0	0	1	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0
Gurchani Vasfi	Other Iranian	34.81	49.49	1	0	0	1	0	1	0	0	0	0	1	1	0	1	1	1	0	0	0	1	0	0	1	0	1	0	1	0	0	1	0	1	0	0	1	0	0	1	0	0	1	0	0	0	0	0	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Gawraju Gorani	Other Iranian	34.34	46.41	1	0	0	1	0	1	0	0	0	0	1	1	0	1	1	0	1	0	0	1	0	0	1	0	1	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0
Zarda Gorani	Other Iranian	34.369756	46.062377000000005	1	0	0	1	0	1	0	0	0	0	1	1	0	1	1	0	1	0	0	1	0	0	1	0	1	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0
Standard Persian	Other Iranian	35.689198	51.388974	1	0	0	1	0	1	0	0	0	0	1	1	0	1	1	1	0	0	0	1	0	0	1	0	1	0	1	0	0	0	0	1	0	0	1	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	1
Arabic dialects of Aleppo	Arabic	36.201240000000006	37.16117	1	0	0	1	0	1	0	0	0	1	1	1	0	1	0	1	0	0	0	1	0	0	1	0	1	0	0	0	0	0	1	1	0	0	1	0	1	1	0	0	1	0	0	0	0	1	0	0	1	1	1	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0
Kajal Tati	Other Iranian	35.9	53.48	1	0	0	1	0	1	0	0	0	0	1	1	0	1	1	1	0	0	0	1	0	0	1	0	1	0	1	0	0	1	0	1	0	0	1	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0
Shakhrudi Tati (Khalklal)	Other Iranian	36.76	50.21	1	0	1	1	0	1	0	0	0	0	1	1	0	0	1	1	0	0	0	1	0	0	1	0	1	0	1	0	0	0	0	1	0	0	1	0	0	1	0	0	1	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0
Khorasani Turkic	Turkic	36.44	60.03	1	0	0	1	0	1	0	0	0	0	1	1	1	1	1	1	0	0	0	1	1	0	1	0	1	0	1	0	0	1	0	1	0	1	0	0	0	1	0	0	1	0	0	0	0	0	1	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	1	0	1	1	1
Bingird and Pizhdar Sorani Kurdish	Kurdish	35.37	45.72	1	0	0	1	0	1	0	0	0	0	1	1	0	1	1	0	1	0	0	1	1	0	1	0	1	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0	1	0	0	1	0	0	1	0	1	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	1	0	0	0	0	0
Suleimaniye Sorani Kurdish	Kurdish	35.56	45.44	1	0	0	1	0	1	0	0	0	0	1	1	0	1	1	0	1	0	0	1	1	0	1	0	1	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0	1	0	0	1	0	0	1	0	1	1	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	1	0	0	0	0	0
Arbil Sorani Kurdish	Kurdish	36.19	44.0	1	0	0	1	0	0	0	0	1	0	1	1	0	1	1	0	1	0	0	1	0	0	1	0	1	0	0	1	0	1	0	1	0	0	1	0	0	0	0	1	0	0	0	1	0	0	1	0	1	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	1	0	0	0	0	0
Judeo-Hamadan	Other Iranian	34.8	48.51	1	0	0	1	0	1	0	0	0	0	1	1	0	1	1	1	0	0	0	1	0	0	1	0	1	0	1	0	0	1	0	1	0	0	1	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	1	0	0	0	0	1
Wārmāwa Sorani Kurdish	Kurdish	35.31	45.67	1	0	0	1	0	1	0	0	0	0	1	1	0	1	1	0	1	0	0	1	1	0	1	0	1	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0	1	0	0	1	0	0	1	0	1	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	1	0	0	0	0	0
Mukrī Sorani Kurdish	Kurdish	36.69	45.14	1	0	0	1	0	1	0	0	0	0	1	1	0	1	1	0	1	0	0	1	1	0	1	0	1	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0	1	0	0	1	0	0	1	0	1	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	1	0	0	0	0	0
Sūrči Sorani(?) Kurdish	Kurdish	36.74	43.89	1	0	0	1	0	0	0	0	1	0	1	1	0	1	1	0	1	0	0	1	0	0	1	0	1	0	0	1	0	1	0	1	0	0	1	0	0	0	0	1	0	0	0	1	0	0	1	0	1	1	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0
Umra Christian NENA	Neo-Aramaic (Christian NENA)	37.39	42.21	1	0	0	1	0	1	0	0	0	0	1	1	0	1	1	1	0	0	0	1	0	0	1	0	1	0	0	1	0	1	0	1	0	0	1	0	1	0	0	0	1	0	0	1	0	1	0	0	1	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0
Kinderib arabic - Mardin group Mḥallami subgroup	Arabic	36.887	30.726	1	0	0	1	0	1	0	0	0	1	1	0	0	1	1	1	0	0	0	1	0	0	1	0	1	0	0	0	0	1	0	1	0	0	1	0	0	1	0	0	1	0	0	0	0	1	1	0	1	1	0	1	0	0	0	1	0	1	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	1	0
Hassane Neo-Aramaic	Neo-Aramaic (Christian NENA)	37.24	42.46	1	0	0	1	0	0	0	0	0	0	1	1	1	1	1	1	0	0	0	1	0	0	1	0	1	0	1	0	0	1	0	1	0	0	1	0	1	1	0	0	1	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0
Sedentary dialects of Antiochia Arabic	Arabic	36.202112	36.237627	1	0	0	1	0	0	0	0	0	1	1	1	0	1	1	1	0	0	0	1	0	0	1	0	1	0	0	0	0	1	0	1	0	0	1	0	1	1	0	0	0	0	0	0	0	1	0	0	1	1	1	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0
Bedouin dialects of Antiochia Arabic	Arabic	36.202112	36.237627	1	0	0	1	0	0	0	0	0	0	1	1	0	1	1	1	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	1	0	0	1	0	1	1	0	0	1	0	0	0	0	1	0	0	1	1	1	1	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0
Saqqiz (Jewish Neo-Aramaic)	Neo-Aramaic (Jewish NENA)	36.246	46.266000000000005	1	0	0	1	0	0	0	0	0	0	0	1	0	1	1	1	0	0	0	1	1	0	1	0	1	0	1	0	0	1	0	1	0	1	1	0	1	1	0	0	0	0	0	0	0	1	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
Neo-Mandaic	Neo-Aramaic (other)	31.3	48.6	1	0	0	1	0	0	0	0	0	0	1	1	0	1	1	1	0	0	0	1	0	0	1	0	1	0	1	0	0	1	0	1	0	0	1	1	0	1	0	0	0	0	0	0	1	0	1	0	1	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	1	1
Turoyo	Neo-Aramaic (other)	37.3	40.65	1	0	0	1	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	1	0	0	1	0	1	0	1	0	0	1	0	1	0	0	1	0	1	1	0	0	0	0	0	0	0	1	1	0	1	1	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	1	0
Mlahso	Neo-Aramaic (other)	38.45	40.65	1	0	0	1	0	0	0	0	0	0	1	0	0	1	1	1	0	0	0	1	0	0	1	0	1	0	1	0	0	1	0	1	0	0	1	0	1	1	0	0	0	0	0	0	0	1	1	0	1	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0
Xalile arabic	Arabic	38.332	41.419	1	0	0	1	0	1	0	0	0	1	1	0	0	1	0	1	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	1	0	0	1	0	1	1	0	0	0	0	0	0	0	1	0	0	1	1	1	1	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0
Bedouin Hatay Arabic	Arabic	36.401849	36.34981	1	0	0	1	0	1	0	0	0	1	1	1	0	1	1	1	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	1	0	0	1	0	1	1	0	0	0	0	0	0	0	1	0	0	1	1	0	1	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	1	0
Bedouin Arabic in Arpahan	Arabic	36.343665	36.241275	1	0	0	1	0	1	0	0	0	1	1	1	0	1	1	1	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	1	0	0	1	0	1	1	0	0	0	0	0	0	0	1	0	0	1	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0
Urban Hatay Arabic	Arabic	36.202284000000006	36.161322	1	0	0	1	0	1	0	0	0	1	1	0	0	1	1	1	0	0	1	1	0	0	1	0	1	0	0	0	0	0	0	1	0	0	1	0	1	1	0	0	0	0	0	0	0	1	0	0	1	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0
Akre Kurdish	Kurdish	36.74	43.89	1	0	0	1	0	1	0	0	0	0	1	1	0	1	1	1	0	0	0	1	0	0	1	0	1	0	1	0	0	1	0	1	0	0	1	0	1	0	0	0	1	0	0	1	0	1	0	0	1	1	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	1	0	0	0	0	0
Sheichan Kurdish	Kurdish	36.65	43.07	1	0	0	1	0	1	0	0	0	0	1	1	0	1	1	1	0	0	0	1	0	0	1	0	1	0	1	0	0	1	0	1	0	0	1	0	1	0	0	0	1	0	0	1	0	1	0	0	1	1	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	1	0	0	0	0	0
Dohuk Kurdish	Kurdish	36.85	42.92	1	0	0	1	0	1	0	0	0	0	1	1	0	1	1	1	0	0	0	1	0	0	1	0	1	0	1	0	0	1	0	1	0	0	1	0	1	0	0	0	1	0	0	1	0	1	0	0	1	1	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	1	0	0	0	0	0
Amadiye	Kurdish	37.09	43.48	1	0	0	1	0	1	0	0	0	0	1	1	0	1	1	1	1	0	0	1	0	0	1	0	1	0	1	1	0	1	0	1	0	0	1	0	1	1	0	0	1	0	0	1	0	1	0	0	1	1	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	1	0	0	0	0	0
Zakho Kurdish	Kurdish	37.15	42.59	1	0	0	1	0	1	0	0	0	0	1	1	0	1	1	1	1	0	0	1	0	0	1	0	1	0	1	1	0	1	0	1	0	0	1	0	1	1	0	0	1	0	0	1	0	1	0	0	1	1	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	1	0	0	0	0	0
Bitlis Kurdish	Kurdish	38.4	42.07	1	0	0	1	0	1	0	0	0	0	1	1	0	1	1	1	0	0	0	1	0	0	1	0	1	0	1	0	0	1	0	0	0	0	1	0	1	1	0	0	1	0	0	0	0	1	0	0	1	1	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	1	0	0	0	0	0
Erevan Kurdish	Kurdish	40.15	44.34	1	0	0	1	0	1	0	0	0	0	1	1	0	1	1	1	1	0	0	1	0	0	1	0	1	0	1	1	0	1	0	1	0	0	1	0	0	1	0	0	1	0	1	1	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	1	0	0	0	0	0
