Name	Group	Lat	Lon	Cons	Vows
Saqqiz (Jewish Neo-Aramaic)	Neo-Aramaic (Jewish NENA)	36.246	46.266	p b (f) m w t d tˤ s z sˤ n l r (t͡ʃ) (d͡ʒ) ʃ ʒ j k g x (ɣ) q (ħ) h (ʕ) <lˤ> <rˤ>	a aː e eː i iː o oː u uː (ai) (au)
Neo-Mandaic	Neo-Aramaic (other)	31.3	48.6	p b t d tˁ k g q f v θ s z sˁ ʃ χ ʁ h m w n l r j (tʃ) (dʒ) (ʕ) (ħ) <ʔ> <ðˁ> <zˁ>	i u e o a ɒ <ə> ɛɪ <aɪ> <aʊ> ɔɪ ɔʊ
Turoyo	Neo-Aramaic (other)	37.3	40.65	ʔ p b f v m w t d tˠ θ ð s z sˠ n l r ʃ k ɡ x ɣ q ħ ʕ h (dˠ) (ðˠ) (ʒ) (tʃ) (dʒ)	i e a o u ə ă ŭ aw aj 
Mlahso	Neo-Aramaic (other)	38.45	40.65	ʔ p b f v m w t d tˠ s z sˠ n l r ʃ j k ɡ x ɣ q ħ ʕ h (dˠ) (ðˠ) (ʒ) (tʃ) (dʒ)	i e a o u ə aw aj
Xalile arabic	Arabic	38.332	41.419	ʔ b t dʒ ħ x d r z s ʃ sˤ dˤ tˤ ðˤ ʕ ɣ f k l m n w y h zˤ	ə i a u iː aː uː aj aw
Bedouin Hatay Arabic	Arabic	36.401849	36.34981	b f m w t tˤ d dˤ θ dʒ s sˤ ð ðˤ z n l r ʃ j k g ɣ x ħ ʕ <ʔ> h	i a u eː aː uː
Bedouin Arabic in Arpahan	Arabic	36.343665	36.241275	b f m w t tˤ d dˤ dʒ s sˤ z n l r ʃ j k g ɣ x ħ ʕ <ʔ> h	i a u eː aː uː
Urban Hatay Arabic	Arabic	36.202284	36.161322	b f m w t tˤ d dˤ dʒ s sˤ z n l r ʃ j k k̠ ɣ x ħ ʕ <ʔ> h	i a u iː aː uː aw aj
Akre Kurdish	Kurdish	36.74	43.89	p tʰ tˤ tʃ k q b d dʒ g f s sˤ ʃ x ħ h z zˤ ʒ ɣ m n ʕ l r ɾ w j	i: y: ɨ e u: o a ɑ 
Sheichan Kurdish	Kurdish	36.65	43.07	p tʰ tˤ tʃ k q b d dʒ g f s sˤ ʃ x ħ h z zˤ ʒ ɣ m n ʕ l r ɾ w j	i: ɨ e u: o a ɑ 
Dohuk Kurdish	Kurdish	36.85	42.92	p tʰ tˤ tʃ k q b d dʒ g f s sˤ ʃ x ħ h z zˤ ʒ ɣ m n ʕ l r ɾ w j	i: ɨ e u: o a ɑ e:i ai a:i u:i y:i e:u au
Amadiye	Kurdish	37.09	43.48	p pʰ t tʰ  tˤ tʃ kʰ k q b d dʒ g f s sˤ ʃ x ħ h z zˤ ʒ ɣ m n ʕ l r ɾ w j 	i: ɨ e u: o a ɑ e:i ai a:i u:i y:i e:u au
Zakho Kurdish	Kurdish	37.15	42.59	p pʰ t tʰ  tˤ tʃ kʰ k q b d dʒ g f s sˤ ʃ x ħ h z zˤ ʒ ɣ m n ʕ l r ɾ w j 	i: ɨ e u: o a ɑ e:i ai a:i u:i y:i e:u au
Bitlis Kurdish	Kurdish	38.4	42.07	p t tˤ tʃ k q b d dʒ g f s sˤ ʃ x ħ h z zˤ ʒ ɣ m n ʕ l ɾ w j	i: ɨ e u: o: a ɑ e:i ai a:i u:i y:i e:u au
Erevan Kurdish	Kurdish	40.15	44.34	p pʰ t tʰ  tʃ kʰ k q b d dʒ g f s ʃ x ħ h z tʃˤ ʒ ɣ m n ʕ l r ɾ w j 	i: ɨ e  u: o: œ a ɑ 
